datetest,confirmed_infections,deaths_mean,State,StateAbr,confirmed_infectionsnz,deaths_mnnz,totCases,totDeaths,mean_7,death_7,mean_3,death_3,Population
2020-01-22,NA,NA,Maryland,MD,0,0,0,0,NA,NA,NA,NA,5785496
2020-01-23,NA,NA,Maryland,MD,0,0,0,0,NA,NA,NA,NA,5785496
2020-01-24,NA,NA,Maryland,MD,0,0,0,0,NA,NA,0,0,5785496
2020-01-25,NA,NA,Maryland,MD,0,0,0,0,NA,NA,0,0,5785496
2020-01-26,NA,NA,Maryland,MD,0,0,0,0,NA,NA,0,0,5785496
2020-01-27,NA,NA,Maryland,MD,0,0,0,0,NA,NA,0,0,5785496
2020-01-28,NA,NA,Maryland,MD,0,0,0,0,0,0,0,0,5785496
2020-01-29,NA,NA,Maryland,MD,0,0,0,0,0,0,0,0,5785496
2020-01-30,NA,NA,Maryland,MD,0,0,0,0,0,0,0,0,5785496
2020-01-31,NA,NA,Maryland,MD,0,0,0,0,0,0,0,0,5785496
2020-02-01,NA,NA,Maryland,MD,0,0,0,0,0,0,0,0,5785496
2020-02-02,NA,NA,Maryland,MD,0,0,0,0,0,0,0,0,5785496
2020-02-03,NA,NA,Maryland,MD,0,0,0,0,0,0,0,0,5785496
2020-02-04,NA,NA,Maryland,MD,0,0,0,0,0,0,0,0,5785496
2020-02-05,NA,NA,Maryland,MD,0,0,0,0,0,0,0,0,5785496
2020-02-06,NA,NA,Maryland,MD,0,0,0,0,0,0,0,0,5785496
2020-02-07,NA,NA,Maryland,MD,0,0,0,0,0,0,0,0,5785496
2020-02-08,NA,NA,Maryland,MD,0,0,0,0,0,0,0,0,5785496
2020-02-09,NA,NA,Maryland,MD,0,0,0,0,0,0,0,0,5785496
2020-02-10,NA,NA,Maryland,MD,0,0,0,0,0,0,0,0,5785496
2020-02-11,NA,NA,Maryland,MD,0,0,0,0,0,0,0,0,5785496
2020-02-12,NA,NA,Maryland,MD,0,0,0,0,0,0,0,0,5785496
2020-02-13,NA,NA,Maryland,MD,0,0,0,0,0,0,0,0,5785496
2020-02-14,NA,NA,Maryland,MD,0,0,0,0,0,0,0,0,5785496
2020-02-15,NA,NA,Maryland,MD,0,0,0,0,0,0,0,0,5785496
2020-02-16,NA,NA,Maryland,MD,0,0,0,0,0,0,0,0,5785496
2020-02-17,NA,NA,Maryland,MD,0,0,0,0,0,0,0,0,5785496
2020-02-18,NA,NA,Maryland,MD,0,0,0,0,0,0,0,0,5785496
2020-02-19,NA,NA,Maryland,MD,0,0,0,0,0,0,0,0,5785496
2020-02-20,NA,NA,Maryland,MD,0,0,0,0,0,0,0,0,5785496
2020-02-21,NA,NA,Maryland,MD,0,0,0,0,0,0,0,0,5785496
2020-02-22,NA,NA,Maryland,MD,0,0,0,0,0,0,0,0,5785496
2020-02-23,NA,NA,Maryland,MD,0,0,0,0,0,0,0,0,5785496
2020-02-24,NA,NA,Maryland,MD,0,0,0,0,0,0,0,0,5785496
2020-02-25,NA,NA,Maryland,MD,0,0,0,0,0,0,0,0,5785496
2020-02-26,NA,NA,Maryland,MD,0,0,0,0,0,0,0,0,5785496
2020-02-27,NA,NA,Maryland,MD,0,0,0,0,0,0,0,0,5785496
2020-02-28,NA,NA,Maryland,MD,0,0,0,0,0,0,0,0,5785496
2020-02-29,NA,NA,Maryland,MD,0,0,0,0,0,0,0,0,5785496
2020-03-01,NA,NA,Maryland,MD,0,0,0,0,0,0,0,0,5785496
2020-03-02,NA,NA,Maryland,MD,0,0,0,0,0,0,0,0,5785496
2020-03-03,NA,NA,Maryland,MD,0,0,0,0,0,0,0,0,5785496
2020-03-04,NA,NA,Maryland,MD,0,0,0,0,0,0,0,0,5785496
2020-03-05,NA,NA,Maryland,MD,0,0,0,0,0,0,0,0,5785496
2020-03-06,NA,NA,Maryland,MD,0,0,0,0,0,0,0,0,5785496
2020-03-07,NA,NA,Maryland,MD,0,0,0,0,0,0,0,0,5785496
2020-03-08,NA,NA,Maryland,MD,0,0,0,0,0,0,0,0,5785496
2020-03-09,NA,NA,Maryland,MD,0,0,0,0,0,0,0,0,5785496
2020-03-10,NA,NA,Maryland,MD,0,0,0,0,0,0,0,0,5785496
2020-03-11,NA,NA,Maryland,MD,0,0,0,0,0,0,0,0,5785496
2020-03-12,NA,NA,Maryland,MD,0,0,0,0,0,0,0,0,5785496
2020-03-13,NA,NA,Maryland,MD,0,0,0,0,0,0,0,0,5785496
2020-03-14,NA,NA,Maryland,MD,0,0,0,0,0,0,0,0,5785496
2020-03-15,NA,NA,Maryland,MD,0,0,0,0,0,0,0,0,5785496
2020-03-16,NA,NA,Maryland,MD,0,0,0,0,0,0,0,0,5785496
2020-03-17,NA,NA,Maryland,MD,0,0,0,0,0,0,0,0,5785496
2020-03-18,NA,NA,Maryland,MD,0,0,0,0,0,0,0,0,5785496
2020-03-19,NA,NA,Maryland,MD,0,0,0,0,0,0,0,0,5785496
2020-03-20,NA,NA,Maryland,MD,0,0,0,0,0,0,0,0,5785496
2020-03-21,NA,NA,Maryland,MD,0,0,0,0,0,0,0,0,5785496
2020-03-22,NA,NA,Maryland,MD,0,0,0,0,0,0,0,0,5785496
2020-03-23,NA,NA,Maryland,MD,0,0,0,0,0,0,0,0,5785496
2020-03-24,NA,NA,Maryland,MD,0,0,0,0,0,0,0,0,5785496
2020-03-25,NA,NA,Maryland,MD,0,0,0,0,0,0,0,0,5785496
2020-03-26,NA,NA,Maryland,MD,0,0,0,0,0,0,0,0,5785496
2020-03-27,NA,NA,Maryland,MD,0,0,0,0,0,0,0,0,5785496
2020-03-28,NA,NA,Maryland,MD,0,0,0,0,0,0,0,0,5785496
2020-03-29,NA,NA,Maryland,MD,0,0,0,0,0,0,0,0,5785496
2020-03-30,NA,NA,Maryland,MD,0,0,0,0,0,0,0,0,5785496
2020-03-31,NA,NA,Maryland,MD,0,0,0,0,0,0,0,0,5785496
2020-04-01,NA,NA,Maryland,MD,0,0,0,0,0,0,0,0,5785496
2020-04-02,NA,NA,Maryland,MD,0,0,0,0,0,0,0,0,5785496
2020-04-03,NA,NA,Maryland,MD,0,0,0,0,0,0,0,0,5785496
2020-04-04,NA,NA,Maryland,MD,0,0,0,0,0,0,0,0,5785496
2020-04-05,NA,NA,Maryland,MD,0,0,0,0,0,0,0,0,5785496
2020-04-06,NA,NA,Maryland,MD,0,0,0,0,0,0,0,0,5785496
2020-04-07,NA,NA,Maryland,MD,0,0,0,0,0,0,0,0,5785496
2020-04-08,NA,NA,Maryland,MD,0,0,0,0,0,0,0,0,5785496
