UID,iso2,iso3,code3,FIPS,Admin2,Province_State,Country_Region,Lat,Long_,Combined_Key,date,Confirmed,maxx,Date,prev,DailyNew,dnum,Info
84001001,US,USA,840,1001,Autauga,Alabama,US,32.53952745,-86.64408227,"Autauga, Alabama, US",3/13/20,0,143,2020-03-13,0,0,51,"Date: 2020-03-13 
Total: 0 
Daily New:  0 
City: Autauga, Alabama, US"
84001003,US,USA,840,1003,Baldwin,Alabama,US,30.72774991,-87.72207058,"Baldwin, Alabama, US",3/13/20,0,299,2020-03-13,0,0,51,"Date: 2020-03-13 
Total: 0 
Daily New:  0 
City: Baldwin, Alabama, US"
84001005,US,USA,840,1005,Barbour,Alabama,US,31.868263,-85.3871286,"Barbour, Alabama, US",3/13/20,0,99,2020-03-13,0,0,51,"Date: 2020-03-13 
Total: 0 
Daily New:  0 
City: Barbour, Alabama, US"
84001007,US,USA,840,1007,Bibb,Alabama,US,32.99642064,-87.12511459999997,"Bibb, Alabama, US",3/13/20,0,416,2020-03-13,0,0,51,"Date: 2020-03-13 
Total: 0 
Daily New:  0 
City: Bibb, Alabama, US"
84001009,US,USA,840,1009,Blount,Alabama,US,33.98210918,-86.56790593,"Blount, Alabama, US",3/13/20,0,77,2020-03-13,0,0,51,"Date: 2020-03-13 
Total: 0 
Daily New:  0 
City: Blount, Alabama, US"
84001011,US,USA,840,1011,Bullock,Alabama,US,32.10030533,-85.71265535,"Bullock, Alabama, US",3/13/20,0,65,2020-03-13,0,0,51,"Date: 2020-03-13 
Total: 0 
Daily New:  0 
City: Bullock, Alabama, US"
84001013,US,USA,840,1013,Butler,Alabama,US,31.75300095,-86.68057478,"Butler, Alabama, US",3/13/20,0,699,2020-03-13,0,0,51,"Date: 2020-03-13 
Total: 0 
Daily New:  0 
City: Butler, Alabama, US"
84001015,US,USA,840,1015,Calhoun,Alabama,US,33.77483727,-85.82630386,"Calhoun, Alabama, US",3/13/20,0,327,2020-03-13,0,0,51,"Date: 2020-03-13 
Total: 0 
Daily New:  0 
City: Calhoun, Alabama, US"
84001017,US,USA,840,1017,Chambers,Alabama,US,32.91360079,-85.39072749,"Chambers, Alabama, US",3/13/20,0,332,2020-03-13,0,0,51,"Date: 2020-03-13 
Total: 0 
Daily New:  0 
City: Chambers, Alabama, US"
84001019,US,USA,840,1019,Cherokee,Alabama,US,34.17805983,-85.60638968,"Cherokee, Alabama, US",3/13/20,0,769,2020-03-13,0,0,51,"Date: 2020-03-13 
Total: 0 
Daily New:  0 
City: Cherokee, Alabama, US"
84001021,US,USA,840,1021,Chilton,Alabama,US,32.85044126,-86.7173256,"Chilton, Alabama, US",3/13/20,0,83,2020-03-13,0,0,51,"Date: 2020-03-13 
Total: 0 
Daily New:  0 
City: Chilton, Alabama, US"
84001023,US,USA,840,1023,Choctaw,Alabama,US,32.02227341,-88.26564429999998,"Choctaw, Alabama, US",3/13/20,0,131,2020-03-13,0,0,51,"Date: 2020-03-13 
Total: 0 
Daily New:  0 
City: Choctaw, Alabama, US"
84001025,US,USA,840,1025,Clarke,Alabama,US,31.68099859,-87.83548597,"Clarke, Alabama, US",3/13/20,0,208,2020-03-13,0,0,51,"Date: 2020-03-13 
Total: 0 
Daily New:  0 
City: Clarke, Alabama, US"
84001027,US,USA,840,1027,Clay,Alabama,US,33.26984193,-85.85836077,"Clay, Alabama, US",3/13/20,0,351,2020-03-13,0,0,51,"Date: 2020-03-13 
Total: 0 
Daily New:  0 
City: Clay, Alabama, US"
84001029,US,USA,840,1029,Cleburne,Alabama,US,33.67679204,-85.52005899,"Cleburne, Alabama, US",3/13/20,0,73,2020-03-13,0,0,51,"Date: 2020-03-13 
Total: 0 
Daily New:  0 
City: Cleburne, Alabama, US"
84001031,US,USA,840,1031,Coffee,Alabama,US,31.39932826,-85.98901039,"Coffee, Alabama, US",3/13/20,0,218,2020-03-13,0,0,51,"Date: 2020-03-13 
Total: 0 
Daily New:  0 
City: Coffee, Alabama, US"
84001033,US,USA,840,1033,Colbert,Alabama,US,34.69847452,-87.80168544,"Colbert, Alabama, US",3/13/20,0,111,2020-03-13,0,0,51,"Date: 2020-03-13 
Total: 0 
Daily New:  0 
City: Colbert, Alabama, US"
84001035,US,USA,840,1035,Conecuh,Alabama,US,31.43401703,-86.99320044,"Conecuh, Alabama, US",3/13/20,0,22,2020-03-13,0,0,51,"Date: 2020-03-13 
Total: 0 
Daily New:  0 
City: Conecuh, Alabama, US"
84001037,US,USA,840,1037,Coosa,Alabama,US,32.93690146,-86.24847739,"Coosa, Alabama, US",3/13/20,0,34,2020-03-13,0,0,51,"Date: 2020-03-13 
Total: 0 
Daily New:  0 
City: Coosa, Alabama, US"
84001039,US,USA,840,1039,Covington,Alabama,US,31.2477854,-86.45050893,"Covington, Alabama, US",3/13/20,0,123,2020-03-13,0,0,51,"Date: 2020-03-13 
Total: 0 
Daily New:  0 
City: Covington, Alabama, US"
84001041,US,USA,840,1041,Crenshaw,Alabama,US,31.72941803,-86.31593104,"Crenshaw, Alabama, US",3/13/20,0,53,2020-03-13,0,0,51,"Date: 2020-03-13 
Total: 0 
Daily New:  0 
City: Crenshaw, Alabama, US"
84001043,US,USA,840,1043,Cullman,Alabama,US,34.13020303,-86.86888037,"Cullman, Alabama, US",3/13/20,0,72,2020-03-13,0,0,51,"Date: 2020-03-13 
Total: 0 
Daily New:  0 
City: Cullman, Alabama, US"
84001045,US,USA,840,1045,Dale,Alabama,US,31.43037123,-85.61095742,"Dale, Alabama, US",3/13/20,0,75,2020-03-13,0,0,51,"Date: 2020-03-13 
Total: 0 
Daily New:  0 
City: Dale, Alabama, US"
84001047,US,USA,840,1047,Dallas,Alabama,US,32.32688101,-87.10866709999998,"Dallas, Alabama, US",3/13/20,0,8273,2020-03-13,0,0,51,"Date: 2020-03-13 
Total: 0 
Daily New:  0 
City: Dallas, Alabama, US"
