Project,Name,business,Status,States,openDate,otherinfo,,
ConEd,Con Edison,Field Services,Partial work Stopped,NY,Unknown,,,
DukeOH,Duke Energy (OH),Meter,Inside Work Stopped,"OH, KY, IN",Return inside TBD,Delivering 001 this week,,
DomQuest,Dominion Questar,Traditional Inspection,Work Adjustment (A/C),"UT,WY,IN",Unknown,"Completed 001, Negotiating 002",,
WEC_WI,WEC Energy Group (AMI),Meter,Inside Work Stopped,WI,Return (inside) July 1,Completed 001,,
PeoplesIL,Peoples ,Traditional Inspection,Return (shutoff),"IL, WI,IN",2020 Return Unlikely,"Completed 001, 002",,
Aclara,Aclara ,Project Shut Down,Meter,NY,Unknown,,,
DukeIPI,Duke Energy (IPI),Traditional Inspection,Project Shutdown,"OH, KY, IN",Return Inside June 8,,,
norwhich,Norwich Public Utilities,Meter,Delayed,"CT,RI",Start: August 20th,,,
Trussville,Trussville,Traditional Inspection,Delayed,AL,Target June 1,,,
CPS_TX,City Public Service Unit (CPS),Traditional Inspection,Active,TX,Open,,,
DominionSC,Dominion (SC),Traditional Inspection,Active,SC,Open,,,
DominionNC,Dominion (NC),Traditional Inspection,Active,NC,Open,,,
