"","datetest","confirmed_infections","deaths_mean","Population","confirmed_infectionsnz","deaths_mnnz","totCases","totDeaths"
"1",2020-02-04,1,0,328200000,1,0,1,0
"2",2020-02-05,1,0,328200000,1,0,2,0
"3",2020-02-06,4,0,328200000,4,0,6,0
"4",2020-02-07,0,0,328200000,0,0,6,0
"5",2020-02-08,0.999999999999989,0,328200000,0.999999999999989,0,6.99999999999999,0
"6",2020-02-09,0,0,328200000,0,0,6.99999999999999,0
"7",2020-02-10,3,0,328200000,3,0,9.99999999999999,0
"8",2020-02-11,2.00000000000001,0,328200000,2.00000000000001,0,12,0
"9",2020-02-12,1,0,328200000,1,0,13,0
"10",2020-02-13,2,0,328200000,2,0,15,0
"11",2020-02-14,1.99999999999999,0,328200000,1.99999999999999,0,17,0
"12",2020-02-15,8.00000000000002,0,328200000,8.00000000000002,0,25,0
"13",2020-02-16,6.99999999999998,0,328200000,6.99999999999998,0,32,0
"14",2020-02-17,14,0,328200000,14,0,46,0
"15",2020-02-18,9.99999999999997,0,328200000,9.99999999999997,0,56,0
"16",2020-02-19,10,0,328200000,10,0,66,0
"17",2020-02-20,13,0,328200000,13,0,79,0
"18",2020-02-21,16.0000000000001,0,328200000,16.0000000000001,0,95.0000000000001,0
"19",2020-02-22,19,0,328200000,19,0,114,0
"20",2020-02-23,15.9999999999999,0,328200000,15.9999999999999,0,130,0
"21",2020-02-24,18,0,328200000,18,0,148,0
"22",2020-02-25,32.0000000000001,0,328200000,32.0000000000001,0,180,0
"23",2020-02-26,28.9999999999998,2,328200000,28.9999999999998,2,209,2
"24",2020-02-27,26.9999999999999,0,328200000,26.9999999999999,0,236,2
"25",2020-02-28,41.0000000000003,2,328200000,41.0000000000003,2,277,4
"26",2020-02-29,25.9999999999999,1,328200000,25.9999999999999,1,303,5
"27",2020-03-01,82.9999999999999,3,328200000,82.9999999999999,3,386,8
"28",2020-03-02,90.9999999999999,3,328200000,90.9999999999999,3,477,11
"29",2020-03-03,97.0000000000005,3,328200000,97.0000000000005,3,574,14
"30",2020-03-04,112,3,328200000,112,3,686,17
"31",2020-03-05,142,4,328200000,142,4,828,21
"32",2020-03-06,111,6,328200000,111,6,939,27
"33",2020-03-07,204.999999999999,1,328200000,204.999999999999,1,1144,28
"34",2020-03-08,255.000000000001,7,328200000,255.000000000001,7,1399,35
"35",2020-03-09,237.999999999999,4,328200000,237.999999999999,4,1637,39
"36",2020-03-10,482,5,328200000,482,5,2119,44
"37",2020-03-11,439,5,328200000,439,5,2558,49
"38",2020-03-12,601,6,328200000,601,6,3159,55
"39",2020-03-13,741,4,328200000,741,4,3900,59
"40",2020-03-14,939.999999999999,12,328200000,939.999999999999,12,4840,71
"41",2020-03-15,1016,16,328200000,1016,16,5856,87
"42",2020-03-16,1376,28,328200000,1376,28,7232,115
"43",2020-03-17,2117,29,328200000,2117,29,9349,144
"44",2020-03-18,2652,31,328200000,2652,31,12001,175
"45",2020-03-19,6879,82,328200000,6879,82,18880,257
"46",2020-03-20,7618,73,328200000,7618,73,26498,330
"47",2020-03-21,8249,83,328200000,8249,83,34747,413
"48",2020-03-22,1564.99999999999,116,328200000,1564.99999999999,116,36312,529
